kaynak            : examples
bölme tohumları   : (11, 22, 33, 44, 55)
eğitim tohumları  : (0, 1, 2)
epoch / batch     : 20 / 64
--balance-by      : core:freq_lower_edge

=== bölme tohumu 11 ===
  train : bpsk_02(-180k), bpsk_04(+280k), qpsk_02(-180k), qpsk_04(+280k)
  val   : bpsk_01(-280k), qpsk_01(-280k)
  test  : bpsk_03(+180k), qpsk_03(+180k)
    [split 55 train 1] epoch   3 kayıp 0.6570 eğitim 0.6406 val 0.5000
    [split 55 train 1] epoch   4 kayıp 0.6227 eğitim 0.7688 val 0.5000
    [split 55 train 1] epoch   5 kayıp 0.5882 eğitim 0.8594 val 0.5000
    [split 55 train 1] epoch   6 kayıp 0.5550 eğitim 0.8719 val 0.5000
    [split 55 train 1] epoch   7 kayıp 0.5231 eğitim 0.9125 val 0.5000
    [split 55 train 1] epoch   8 kayıp 0.4546 eğitim 0.9719 val 0.5000
    [split 55 train 1] epoch   9 kayıp 0.4103 eğitim 0.9812 val 0.5000
    [split 55 train 1] epoch  10 kayıp 0.3488 eğitim 0.9781 val 0.5000
    [split 55 train 1] epoch  11 kayıp 0.2822 eğitim 0.9875 val 0.5000
    [split 55 train 1] epoch  12 kayıp 0.2398 eğitim 0.9938 val 0.5000
    [split 55 train 1] epoch  13 kayıp 0.1930 eğitim 0.9969 val 0.5062
    [split 55 train 1] epoch  14 kayıp 0.1694 eğitim 0.9938 val 0.6188
